,coverage,customer,customer_lifetime_value,date,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy,policy_type,renew_offer_type,response,sales_channel,state,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
2909,Basic,QT90140,5332.462694,2011-02-22,Doctor,2/22/11,Employed,F,68931,Urban,Married,66,32.0,30,0.0,7,Personal L2,Personal Auto,Offer2,Yes,Branch,Arizona,309.577946,Four-Door Car,Medsize,A,February
2911,Basic,FQ24929,5479.555081,2011-01-13,Master,1/13/11,Employed,M,56005,Suburban,Married,68,31.0,30,1.0,3,Personal L3,Personal Auto,Offer1,Yes,Branch,Oregon,326.4,Four-Door Car,Small,A,January
2918,Extended,UU77151,5182.393447,2011-01-25,College,1/25/11,Employed,F,44820,Urban,Married,133,12.0,62,3.0,1,Personal L3,Personal Auto,Offer1,No,Branch,Washington,336.13217,Sports Car,Medsize,A,January
2924,Premium,PV39600,8417.004401,2011-01-06,Bachelor,1/6/11,Employed,M,24285,Suburban,Divorced,111,6.0,10,0.0,7,Personal L3,Personal Auto,Offer4,No,Agent,California,1257.527908,Two-Door Car,Small,A,January
2929,Premium,LK70293,17793.60797,2011-02-18,High School or Below,2/18/11,Unemployed,F,0,Suburban,Married,118,26.0,43,0.0,2,Personal L3,Personal Auto,Offer1,No,Web,Nevada,1118.990694,Four-Door Car,Large,A,February
2931,Basic,LK63879,4745.680421,2011-01-27,High School or Below,1/27/11,Unemployed,F,0,Suburban,Single,63,23.0,88,0.0,3,Personal L2,Personal Auto,Offer1,No,Branch,California,523.337427,Four-Door Car,Medsize,A,January
2932,Basic,DS34823,4250.282624,2011-01-18,High School or Below,1/18/11,Unemployed,F,0,Suburban,Single,61,17.0,1,1.0,7,Personal L2,Personal Auto,Offer1,Yes,Agent,Arizona,292.8,Four-Door Car,Small,A,January
2935,Basic,XV84099,5504.139033,2011-02-08,Bachelor,2/8/11,Unemployed,F,0,Suburban,Married,73,18.0,45,0.0,5,Corporate L1,Corporate Auto,Offer1,Yes,Call Center,Arizona,350.4,Four-Door Car,Medsize,A,February
2936,Basic,XU67970,2121.647053,2011-01-27,College,1/27/11,Unemployed,M,0,Suburban,Single,62,11.0,45,0.0,1,Personal L3,Personal Auto,Offer4,No,Call Center,Washington,446.4,Two-Door Car,Small,A,January
2938,Extended,QK29271,14084.48944,2011-02-22,Bachelor,2/22/11,Unemployed,M,0,Suburban,Single,208,22.0,92,0.0,3,Corporate L1,Corporate Auto,Offer2,No,Agent,California,2270.508697,Luxury Car,Medsize,A,February
2939,Basic,SX50964,5224.328801,2011-01-24,Bachelor,1/24/11,Employed,F,83389,Urban,Married,65,5.0,57,0.0,3,Corporate L2,Corporate Auto,Offer2,No,Branch,Arizona,209.25613,Two-Door Car,Small,A,January
2943,Premium,XZ40716,8054.982035,2011-01-18,High School or Below,1/18/11,Employed,F,75531,Suburban,Single,102,2.0,13,0.0,4,Personal L3,Personal Auto,Offer1,No,Web,California,489.6,Four-Door Car,Medsize,A,January
2945,Extended,PW51793,7325.892726,2011-01-02,Bachelor,1/2/11,Employed,M,52920,Suburban,Divorced,93,18.0,95,0.0,3,Personal L2,Personal Auto,Offer1,No,Branch,Oregon,1101.05432,Four-Door Car,Small,A,January
2948,Extended,GF70857,2933.960426,2011-01-28,College,1/28/11,Unemployed,M,0,Rural,Married,83,2.0,62,0.0,1,Personal L3,Personal Auto,Offer2,No,Call Center,Nevada,199.851201,Four-Door Car,Medsize,A,January
2950,Premium,ZH28728,6285.019179,2011-01-29,Bachelor,1/29/11,Unemployed,M,0,Suburban,Married,172,5.0,33,0.0,1,Personal L3,Personal Auto,Offer1,No,Call Center,Oregon,825.6,SUV,Medsize,A,January
2952,Extended,FN98595,7516.831717,2011-02-20,High School or Below,2/20/11,Employed,F,31477,Rural,Married,94,22.0,77,0.0,3,Special L2,Special Auto,Offer2,No,Branch,Nevada,146.950756,Four-Door Car,Medsize,A,February
2954,Premium,MI65698,4590.811214,2011-02-01,College,2/1/11,Employed,F,28354,Urban,Divorced,118,33.0,20,0.0,1,Personal L3,Personal Auto,Offer2,No,Agent,Oregon,320.327775,Two-Door Car,Large,A,February
2955,Extended,KA32645,5770.684097,2011-02-02,College,2/2/11,Unemployed,M,0,Suburban,Single,83,21.0,67,0.0,8,Personal L2,Personal Auto,Offer1,No,Branch,Nevada,946.345269,Four-Door Car,Medsize,A,February
2956,Extended,ZV43428,27789.69235,2011-01-20,Bachelor,1/20/11,Employed,F,33806,Urban,Divorced,89,32.0,59,0.0,2,Special L3,Special Auto,Offer2,Yes,Web,Arizona,395.729716,Four-Door Car,Medsize,A,January
2960,Extended,AB60627,15467.78904,2011-01-28,High School or Below,1/28/11,Employed,M,77517,Rural,Married,129,19.0,20,0.0,2,Corporate L2,Corporate Auto,Offer3,No,Branch,California,98.921782,SUV,Medsize,A,January
2962,Basic,JD50909,3008.099115,2011-01-17,Bachelor,1/17/11,Employed,F,80681,Suburban,Married,74,31.0,12,0.0,1,Corporate L3,Corporate Auto,Offer2,No,Agent,Arizona,355.2,Four-Door Car,Medsize,A,January
2965,Basic,EY13576,7374.077921,2011-01-09,College,1/9/11,Unemployed,F,0,Suburban,Married,110,19.0,87,4.0,3,Personal L2,Personal Auto,Offer1,No,Web,Oregon,528.0,SUV,Medsize,A,January
2966,Basic,QO56662,2551.226692,2011-01-19,Master,1/19/11,Employed,M,79751,Suburban,Married,63,15.0,67,0.0,1,Personal L3,Personal Auto,Offer3,Yes,Web,Arizona,392.235698,Two-Door Car,Small,A,January
2967,Basic,FL55134,10408.96865,2011-02-18,High School or Below,2/18/11,Retired,M,20228,Suburban,Divorced,101,3.0,43,1.0,2,Personal L3,Personal Auto,Offer1,Yes,Branch,Nevada,523.815839,SUV,Medsize,A,February
2973,Basic,RO25639,5442.744248,2011-02-03,Doctor,2/3/11,Employed,F,25884,Urban,Married,69,18.0,36,3.0,9,Personal L3,Personal Auto,Offer2,No,Branch,Nevada,292.274846,Four-Door Car,Medsize,A,February
2975,Basic,CE11667,7582.113842,2011-02-03,College,2/3/11,Employed,M,64801,Urban,Married,64,23.0,19,0.0,2,Corporate L3,Corporate Auto,Offer2,Yes,Web,Oregon,268.471802,Four-Door Car,Medsize,A,February
2982,Extended,DG30586,2867.312197,2011-01-03,Bachelor,1/3/11,Retired,F,23376,Suburban,Divorced,78,19.0,18,0.0,1,Personal L3,Personal Auto,Offer2,Yes,Call Center,Oregon,374.4,Four-Door Car,Medsize,A,January
2984,Basic,RP14593,3945.588049,2011-01-19,Bachelor,1/19/11,Unemployed,F,0,Suburban,Single,105,2.0,54,0.0,1,Personal L2,Personal Auto,Offer3,No,Web,Oregon,933.212749,SUV,Small,A,January
2985,Extended,ZW51071,6622.05254,2011-01-14,High School or Below,1/14/11,Employed,F,80979,Rural,Divorced,84,32.0,27,2.0,3,Personal L3,Personal Auto,Offer1,No,Agent,Oregon,25.961213,Four-Door Car,Medsize,A,January
2986,Extended,GT89774,17109.39447,2011-01-13,Bachelor,1/13/11,Employed,F,87139,Rural,Married,213,18.0,27,0.0,3,Personal L3,Personal Auto,Offer4,No,Agent,Arizona,363.865389,Luxury SUV,Medsize,A,January
2989,Basic,DE78840,6991.248087,2011-02-22,Bachelor,2/22/11,Medical Leave,F,19019,Suburban,Married,186,7.0,46,0.0,1,Personal L3,Personal Auto,Offer4,No,Branch,Nevada,1003.050834,Luxury SUV,Medsize,A,February
2990,Extended,IU47468,6165.557517,2011-01-24,Bachelor,1/24/11,Unemployed,F,0,Suburban,Single,88,12.0,54,0.0,6,Special L2,Special Auto,Offer3,No,Web,Oregon,653.65668,Two-Door Car,Small,A,January
2991,Basic,QA41472,13355.48637,2011-01-14,Bachelor,1/14/11,Employed,M,34495,Urban,Married,113,27.0,29,0.0,2,Personal L3,Personal Auto,Offer3,No,Branch,Oregon,389.673944,SUV,Medsize,A,January
2996,Basic,SH13204,4741.808942,2011-01-20,High School or Below,1/20/11,Unemployed,F,0,Suburban,Single,65,2.0,73,0.0,8,Personal L1,Personal Auto,Offer2,No,Agent,California,731.289267,Two-Door Car,Medsize,A,January
2997,Extended,DO31181,4739.297046,2011-01-30,College,1/30/11,Unemployed,F,0,Rural,Married,76,28.0,55,5.0,3,Personal L3,Personal Auto,Offer1,No,Agent,Oregon,38.792481,Two-Door Car,Medsize,A,January
3001,Extended,SG82836,6439.779016,2011-01-14,High School or Below,1/14/11,Employed,M,47412,Suburban,Married,81,10.0,39,0.0,7,Personal L2,Personal Auto,Offer1,No,Branch,Oregon,421.824276,Two-Door Car,Small,A,January
3005,Premium,NX93393,4335.353131,2011-02-27,High School or Below,2/27/11,Employed,M,86096,Suburban,Married,108,30.0,1,0.0,1,Corporate L3,Corporate Auto,Offer2,No,Call Center,Oregon,518.4,Two-Door Car,Large,A,February
3006,Basic,TT47031,5450.573438,2011-02-04,Bachelor,2/4/11,Employed,F,76389,Urban,Married,68,5.0,86,0.0,7,Personal L1,Personal Auto,Offer1,No,Web,Arizona,262.00129,Four-Door Car,Small,A,February
3010,Extended,AY35050,7292.913911,2011-02-23,College,2/23/11,Unemployed,F,0,Suburban,Married,98,3.0,70,0.0,8,Personal L3,Personal Auto,Offer1,No,Branch,Arizona,470.4,Two-Door Car,Medsize,A,February
3011,Basic,EP80820,5928.748528,2011-01-27,Bachelor,1/27/11,Employed,F,40531,Rural,Married,74,17.0,32,0.0,9,Personal L3,Personal Auto,Offer1,No,Agent,California,30.567357,Two-Door Car,Medsize,A,January
3012,Extended,JC33752,6277.844624,2011-01-21,College,1/21/11,Employed,F,21024,Suburban,Single,82,32.0,8,1.0,9,Personal L3,Personal Auto,Offer2,No,Agent,Oregon,450.129276,Two-Door Car,Large,A,January
3013,Extended,IU25994,31516.5084,2011-02-16,College,2/16/11,Unemployed,M,0,Suburban,Married,125,23.0,4,0.0,2,Corporate L3,Corporate Auto,Offer3,No,Branch,California,626.411563,SUV,Medsize,A,February
3016,Basic,XM39121,7955.442668,2011-02-23,College,2/23/11,Unemployed,F,0,Suburban,Married,69,11.0,5,0.0,2,Personal L1,Personal Auto,Offer1,No,Web,Arizona,331.2,Four-Door Car,Small,A,February
3019,Basic,LU30834,14230.3242,2011-02-22,Bachelor,2/22/11,Employed,F,78046,Suburban,Divorced,119,22.0,91,2.0,2,Personal L3,Personal Auto,Offer1,No,Call Center,Oregon,759.119999,SUV,Small,A,February
3021,Premium,AM97901,22986.15393,2011-01-23,College,1/23/11,Employed,F,84831,Suburban,Single,192,13.0,37,0.0,2,Special L1,Special Auto,Offer1,No,Branch,Nevada,1336.931716,Sports Car,Medsize,A,January
3022,Basic,PK35830,12357.11512,2011-01-02,Bachelor,1/2/11,Unemployed,M,0,Suburban,Single,182,4.0,34,0.0,5,Personal L2,Personal Auto,Offer1,No,Branch,Oregon,1953.87972,Luxury SUV,Medsize,A,January
3023,Basic,BA75404,5789.8509,2011-01-19,Doctor,1/19/11,Employed,F,77221,Urban,Married,71,2.0,49,0.0,7,Personal L3,Personal Auto,Offer2,No,Call Center,Oregon,259.591385,Four-Door Car,Medsize,A,January
3026,Basic,RX14132,7228.005386,2011-01-06,High School or Below,1/6/11,Employed,M,25926,Suburban,Married,61,28.0,68,0.0,2,Personal L1,Personal Auto,Offer4,No,Agent,California,292.8,Two-Door Car,Small,A,January
3030,Basic,AU46604,2030.783687,2011-01-16,Bachelor,1/16/11,Unemployed,M,0,Suburban,Single,64,0.0,8,1.0,1,Personal L2,Personal Auto,Offer2,No,Agent,California,731.479725,Four-Door Car,Small,A,January
3031,Basic,BF72793,6732.970948,2011-01-28,High School or Below,1/28/11,Unemployed,F,0,Suburban,Single,62,10.0,31,0.0,2,Personal L3,Personal Auto,Offer2,No,Agent,California,446.4,Two-Door Car,Medsize,A,January
3032,Basic,WV37081,5158.576449,2011-01-13,College,1/13/11,Employed,M,25963,Urban,Married,66,11.0,35,0.0,9,Personal L3,Personal Auto,Offer2,No,Web,California,298.954932,Four-Door Car,Medsize,A,January
3034,Extended,SN69015,6371.320461,2011-01-04,College,1/4/11,Employed,M,23797,Suburban,Married,81,10.0,57,0.0,3,Personal L2,Personal Auto,Offer2,No,Web,California,388.8,Four-Door Car,Medsize,A,January
3035,Basic,OY74069,3538.059456,2011-01-15,College,1/15/11,Unemployed,F,0,Suburban,Single,67,12.0,67,5.0,7,Personal L2,Personal Auto,Offer4,No,Call Center,Arizona,321.6,Four-Door Car,Medsize,A,January
3036,Basic,YH86106,5764.862315,2011-02-11,Bachelor,2/11/11,Employed,M,40238,Suburban,Married,73,17.0,88,1.0,9,Personal L3,Personal Auto,Offer1,No,Branch,Arizona,350.4,Four-Door Car,Medsize,A,February
3037,Basic,MA43940,9343.198788,2011-02-13,High School or Below,2/13/11,Employed,M,75909,Suburban,Married,117,23.0,77,0.0,3,Special L3,Special Auto,Offer3,No,Branch,Oregon,561.6,Sports Car,Medsize,A,February
3043,Basic,SV34223,20477.10841,2011-01-01,College,1/1/11,Employed,F,58317,Suburban,Married,73,0.0,56,0.0,2,Personal L2,Personal Auto,Offer4,No,Call Center,California,350.4,Four-Door Car,Medsize,A,January
3044,Basic,PE66545,2545.518369,2011-02-01,Bachelor,2/1/11,Employed,M,29250,Suburban,Married,64,27.0,30,0.0,1,Personal L3,Personal Auto,Offer4,No,Agent,Oregon,308.240792,Two-Door Car,Small,A,February
3045,Extended,VF72557,4772.943848,2011-02-18,High School or Below,2/18/11,Retired,M,20993,Suburban,Divorced,133,35.0,90,0.0,1,Personal L3,Personal Auto,Offer2,Yes,Agent,Oregon,638.4,SUV,Medsize,A,February
3051,Extended,DE21910,7304.395148,2011-02-18,College,2/18/11,Employed,F,41025,Rural,Married,92,22.0,92,0.0,6,Personal L3,Personal Auto,Offer1,No,Agent,Oregon,20.374393,Four-Door Car,Large,A,February
3052,Extended,AW18068,9468.509337,2011-02-22,High School or Below,2/22/11,Unemployed,M,0,Suburban,Single,88,6.0,47,0.0,2,Personal L1,Personal Auto,Offer1,No,Agent,Arizona,633.6,Two-Door Car,Medsize,A,February
3056,Basic,XJ40322,5294.28379,2011-01-06,High School or Below,1/6/11,Employed,F,61687,Rural,Single,67,13.0,17,0.0,3,Personal L2,Personal Auto,Offer4,No,Web,California,120.128737,Two-Door Car,Medsize,A,January
3060,Extended,MR50410,5067.002561,2011-02-24,College,2/24/11,Employed,M,89703,Urban,Married,126,6.0,54,0.0,1,Personal L1,Personal Auto,Offer4,No,Branch,Nevada,601.983113,SUV,Medsize,A,February
3066,Extended,HD56196,34090.03598,2011-01-24,Doctor,1/24/11,Employed,F,51840,Rural,Married,94,10.0,75,0.0,2,Corporate L1,Corporate Auto,Offer2,No,Agent,Oregon,33.747903,Two-Door Car,Small,A,January
3067,Basic,QW88350,7618.442045,2011-02-23,College,2/23/11,Employed,F,41900,Urban,Married,63,0.0,34,0.0,2,Corporate L3,Corporate Auto,Offer2,No,Web,Washington,170.496071,Four-Door Car,Large,A,February
3068,Basic,SM16060,4811.740943,2011-02-15,College,2/15/11,Unemployed,F,0,Suburban,Single,68,34.0,37,0.0,6,Personal L2,Personal Auto,Offer1,No,Web,Arizona,619.07199,Two-Door Car,Small,A,February
3069,Basic,WX30852,2639.982596,2011-02-04,Bachelor,2/4/11,Employed,F,69819,Rural,Married,66,24.0,20,0.0,1,Personal L1,Personal Auto,Offer4,No,Agent,Arizona,21.00736,Four-Door Car,Medsize,A,February
3070,Basic,CF15252,4344.524462,2011-02-25,Bachelor,2/25/11,Employed,F,48054,Suburban,Married,109,2.0,64,0.0,1,Personal L1,Personal Auto,Offer1,No,Call Center,Arizona,523.2,SUV,Medsize,A,February
3072,Extended,IN95983,6798.272436,2011-01-10,College,1/10/11,Employed,F,32517,Suburban,Single,94,11.0,53,3.0,3,Special L3,Special Auto,Offer1,No,Branch,California,451.2,Four-Door Car,Small,A,January
3073,Basic,OR78439,8658.863813,2011-02-07,College,2/7/11,Employed,M,62464,Urban,Married,109,23.0,45,0.0,4,Corporate L3,Corporate Auto,Offer2,Yes,Agent,Arizona,400.181882,Sports Car,Medsize,A,February
3075,Premium,AZ74055,4115.577437,2011-02-23,High School or Below,2/23/11,Employed,M,52405,Suburban,Married,103,2.0,27,0.0,1,Personal L3,Personal Auto,Offer4,No,Call Center,Oregon,494.4,Four-Door Car,Medsize,A,February
3078,Extended,OP70207,10506.88413,2011-02-14,College,2/14/11,Employed,M,37934,Urban,Divorced,137,2.0,58,1.0,8,Personal L3,Personal Auto,Offer1,No,Call Center,Oregon,385.440163,Sports Car,Medsize,A,February
3079,Basic,TD19026,2861.717418,2011-02-22,High School or Below,2/22/11,Employed,F,90083,Urban,Married,71,23.0,47,0.0,1,Personal L3,Personal Auto,Offer4,No,Agent,California,181.689191,Two-Door Car,Medsize,A,February
3080,Basic,XB27698,8622.835375,2011-02-18,Bachelor,2/18/11,Employed,M,97361,Suburban,Single,73,6.0,85,0.0,2,Personal L1,Personal Auto,Offer1,Yes,Agent,Oregon,350.4,Four-Door Car,Medsize,A,February
3082,Basic,FB84235,5498.940679,2011-02-05,College,2/5/11,Medical Leave,M,22520,Suburban,Married,73,17.0,64,0.0,3,Personal L2,Personal Auto,Offer1,Yes,Branch,Oregon,350.4,Four-Door Car,Medsize,A,February
3083,Premium,VH41477,4742.106389,2011-01-10,High School or Below,1/10/11,Employed,M,63891,Rural,Married,119,13.0,13,0.0,1,Corporate L3,Corporate Auto,Offer4,No,Agent,Oregon,7.651121,Two-Door Car,Medsize,A,January
3086,Basic,XQ19310,5006.609577,2011-01-16,High School or Below,1/16/11,Unemployed,F,0,Suburban,Single,71,16.0,4,0.0,5,Personal L3,Personal Auto,Offer2,No,Call Center,California,358.985713,Two-Door Car,Medsize,A,January
3089,Extended,JZ61712,3359.239423,2011-02-10,Bachelor,2/10/11,Employed,M,97576,Suburban,Married,83,1.0,49,1.0,1,Personal L3,Personal Auto,Offer4,No,Call Center,Nevada,544.712653,Two-Door Car,Large,A,February
3092,Extended,WB21698,3723.114445,2011-02-07,High School or Below,2/7/11,Employed,F,31974,Urban,Married,92,25.0,77,0.0,1,Personal L3,Personal Auto,Offer2,No,Branch,California,388.135527,Four-Door Car,Medsize,A,February
3093,Basic,PK79296,2602.212965,2011-02-01,College,2/1/11,Disabled,F,28995,Suburban,Married,67,28.0,42,0.0,1,Personal L3,Personal Auto,Offer2,No,Branch,California,321.6,Four-Door Car,Medsize,A,February
3094,Extended,YQ99152,9787.808819,2011-01-07,High School or Below,1/7/11,Retired,M,10475,Suburban,Married,88,13.0,81,1.0,2,Personal L2,Personal Auto,Offer1,No,Branch,Nevada,422.4,Two-Door Car,Small,A,January
3095,Basic,HU89665,12128.36511,2011-02-25,College,2/25/11,Employed,F,20495,Suburban,Married,61,7.0,36,0.0,2,Personal L3,Personal Auto,Offer2,No,Agent,Oregon,292.8,Four-Door Car,Medsize,A,February
3097,Basic,OH11674,8068.623946,2011-01-27,Bachelor,1/27/11,Employed,F,51584,Suburban,Divorced,69,11.0,98,2.0,2,Corporate L1,Corporate Auto,Offer1,No,Branch,Arizona,368.919773,Two-Door Car,Small,A,January
3098,Basic,GK67747,4386.277558,2011-02-11,College,2/11/11,Retired,M,10621,Suburban,Single,67,28.0,22,0.0,5,Special L3,Special Auto,Offer1,Yes,Agent,Washington,321.6,Four-Door Car,Medsize,A,February
3101,Extended,FU51754,5568.947534,2011-01-01,High School or Below,1/1/11,Unemployed,M,0,Suburban,Single,79,21.0,53,1.0,7,Personal L2,Personal Auto,Offer1,Yes,Agent,Arizona,407.440238,Two-Door Car,Medsize,A,January
3102,Basic,PB11270,7107.655397,2011-02-24,Bachelor,2/24/11,Unemployed,F,0,Suburban,Married,61,2.0,15,0.0,2,Personal L2,Personal Auto,Offer1,No,Agent,Oregon,541.561209,Four-Door Car,Medsize,A,February
3103,Premium,OQ45659,41745.00646,2011-01-01,College,1/1/11,Employed,F,45431,Suburban,Married,116,23.0,81,0.0,2,Personal L3,Personal Auto,Offer2,No,Branch,Arizona,556.8,Four-Door Car,Medsize,A,January
3104,Basic,IB39821,9011.129467,2011-01-01,Bachelor,1/1/11,Employed,M,88708,Urban,Married,112,6.0,71,0.0,9,Personal L2,Personal Auto,Offer2,No,Agent,Arizona,499.663591,Sports Car,Small,A,January
3105,Basic,XK11432,4665.129599,2011-02-02,Bachelor,2/2/11,Unemployed,M,0,Suburban,Married,62,26.0,62,0.0,3,Personal L2,Personal Auto,Offer1,No,Branch,Arizona,297.6,Two-Door Car,Small,A,February
3108,Basic,SO47345,9403.875138,2011-01-26,Master,1/26/11,Employed,F,56410,Urban,Married,117,13.0,73,0.0,3,Personal L2,Personal Auto,Offer1,No,Agent,Arizona,523.99823,SUV,Medsize,A,January
3109,Extended,PV99529,2724.430809,2011-01-07,Bachelor,1/7/11,Unemployed,M,0,Suburban,Divorced,77,15.0,31,0.0,1,Personal L1,Personal Auto,Offer1,No,Branch,Arizona,404.82483,Two-Door Car,Medsize,A,January
3112,Extended,PN12718,8681.046339,2011-02-03,Bachelor,2/3/11,Unemployed,M,0,Suburban,Married,86,6.0,57,2.0,2,Personal L1,Personal Auto,Offer2,No,Branch,California,541.217743,Two-Door Car,Large,A,February
3114,Basic,WG33213,2808.078361,2011-01-23,Bachelor,1/23/11,Employed,F,55005,Suburban,Divorced,70,31.0,39,1.0,1,Personal L2,Personal Auto,Offer4,No,Call Center,California,336.0,Four-Door Car,Medsize,A,January
3117,Basic,LE12782,4466.977478,2011-01-10,College,1/10/11,Employed,M,28663,Suburban,Married,61,15.0,8,4.0,7,Personal L2,Personal Auto,Offer4,No,Agent,Arizona,292.8,Four-Door Car,Medsize,A,January
3120,Basic,WW31823,19190.31894,2011-01-22,High School or Below,1/22/11,Employed,F,39034,Suburban,Married,68,10.0,55,0.0,2,Personal L1,Personal Auto,Offer1,No,Agent,Oregon,466.446708,Four-Door Car,Small,A,January
3123,Extended,SY86059,3731.504584,2011-02-24,High School or Below,2/24/11,Unemployed,F,0,Suburban,Married,96,31.0,34,0.0,1,Corporate L3,Corporate Auto,Offer1,Yes,Agent,California,460.8,Four-Door Car,Large,A,February
3124,Premium,SB66770,14435.67365,2011-01-26,Master,1/26/11,Employed,M,60880,Rural,Married,119,25.0,89,0.0,2,Corporate L2,Corporate Auto,Offer1,Yes,Agent,Arizona,109.906628,Two-Door Car,Medsize,A,January
3125,Extended,ON59472,15771.39342,2011-02-26,High School or Below,2/26/11,Medical Leave,M,21921,Suburban,Married,206,14.0,44,0.0,3,Corporate L2,Corporate Auto,Offer1,No,Branch,Arizona,1254.137899,Luxury SUV,Large,A,February
3133,Basic,FY32647,12515.18061,2011-01-16,College,1/16/11,Unemployed,M,0,Suburban,Single,63,35.0,15,0.0,2,Special L3,Special Auto,Offer4,No,Branch,California,577.57549,Two-Door Car,Medsize,A,January
3138,Basic,ON50913,12807.09083,2011-01-14,College,1/14/11,Unemployed,F,0,Suburban,Married,69,32.0,21,0.0,2,Special L2,Special Auto,Offer1,No,Agent,California,450.760925,Four-Door Car,Small,A,January
3139,Premium,FY40655,39400.1854,2011-01-20,Master,1/20/11,Unemployed,M,0,Suburban,Single,181,22.0,96,0.0,2,Personal L3,Personal Auto,Offer1,No,Call Center,Washington,868.8,SUV,Medsize,A,January
3141,Basic,CP19929,2242.574431,2011-02-10,Bachelor,2/10/11,Unemployed,F,0,Suburban,Single,63,31.0,99,1.0,1,Corporate L3,Corporate Auto,Offer1,No,Agent,California,453.6,Two-Door Car,Medsize,A,February
3142,Basic,RJ68578,8110.704417,2011-02-14,High School or Below,2/14/11,Employed,M,76879,Suburban,Married,101,20.0,44,0.0,5,Corporate L3,Corporate Auto,Offer2,No,Web,Oregon,487.102627,Sports Car,Large,A,February
3143,Basic,BK15048,6656.709233,2011-01-20,College,1/20/11,Unemployed,M,0,Suburban,Single,69,23.0,32,1.0,2,Personal L3,Personal Auto,Offer1,No,Branch,Arizona,496.8,Four-Door Car,Small,A,January
3153,Basic,FK75497,2453.408288,2011-01-21,College,1/21/11,Employed,M,83772,Rural,Divorced,62,13.0,76,0.0,1,Personal L3,Personal Auto,Offer3,No,Branch,California,42.248087,Two-Door Car,Large,A,January
3155,Premium,HB68898,20239.38353,2011-01-30,Bachelor,1/30/11,Employed,F,36116,Rural,Married,171,27.0,33,2.0,2,Corporate L1,Corporate Auto,Offer1,No,Branch,Oregon,158.126982,SUV,Medsize,A,January
3157,Extended,GM16780,36057.53702,2011-02-07,College,2/7/11,Employed,M,90330,Rural,Single,137,0.0,86,3.0,2,Corporate L3,Corporate Auto,Offer1,No,Call Center,Oregon,192.085299,Sports Car,Medsize,A,February
3158,Extended,ES97399,10714.21449,2011-02-03,High School or Below,2/3/11,Employed,M,55994,Suburban,Married,92,19.0,75,2.0,2,Corporate L3,Corporate Auto,Offer3,No,Agent,Nevada,441.6,Four-Door Car,Medsize,A,February
3159,Basic,AA35519,8002.308333,2011-01-11,College,1/11/11,Unemployed,F,0,Suburban,Married,107,3.0,65,0.0,3,Personal L2,Personal Auto,Offer1,Yes,Agent,Arizona,513.6,SUV,Medsize,A,January
3161,Basic,AS97690,2411.256575,2011-02-23,College,2/23/11,Employed,M,54483,Suburban,Married,61,6.0,57,0.0,1,Personal L1,Personal Auto,Offer3,No,Call Center,Arizona,292.8,Two-Door Car,Medsize,A,February
3165,Extended,RZ50353,6243.141785,2011-01-02,High School or Below,1/2/11,Employed,M,57734,Suburban,Divorced,78,2.0,64,0.0,3,Personal L2,Personal Auto,Offer4,No,Web,California,374.4,Four-Door Car,Medsize,A,January
3166,Basic,LQ71247,4524.642758,2011-01-04,High School or Below,1/4/11,Unemployed,F,0,Suburban,Single,65,30.0,59,2.0,3,Personal L3,Personal Auto,Offer1,No,Agent,Arizona,490.113784,Four-Door Car,Small,A,January
3167,Basic,HV69023,8281.740124,2011-01-05,High School or Below,1/5/11,Medical Leave,F,19189,Suburban,Married,108,21.0,9,0.0,3,Personal L2,Personal Auto,Offer2,No,Web,California,518.4,SUV,Large,A,January
3169,Basic,RS60249,4253.283113,2011-01-10,Bachelor,1/10/11,Unemployed,M,0,Suburban,Single,62,13.0,8,0.0,5,Personal L2,Personal Auto,Offer1,No,Branch,Oregon,446.4,Two-Door Car,Medsize,A,January
3172,Basic,OB49075,4458.113369,2011-01-02,Bachelor,1/2/11,Retired,M,17622,Suburban,Divorced,65,1.0,36,1.0,3,Personal L3,Personal Auto,Offer1,Yes,Agent,Arizona,312.0,Four-Door Car,Medsize,A,January
3173,Basic,WI89701,5705.899103,2011-01-11,College,1/11/11,Unemployed,F,0,Suburban,Married,74,2.0,34,0.0,9,Personal L3,Personal Auto,Offer1,No,Branch,California,432.4081,Two-Door Car,Medsize,A,January
3175,Extended,PZ47477,8966.309774,2011-01-30,High School or Below,1/30/11,Employed,M,41829,Suburban,Married,76,11.0,41,0.0,2,Personal L2,Personal Auto,Offer2,No,Call Center,Arizona,416.365369,Two-Door Car,Medsize,A,January
3183,Premium,EY71418,25640.24004,2011-01-11,Bachelor,1/11/11,Disabled,F,24695,Suburban,Married,168,5.0,83,0.0,2,Corporate L2,Corporate Auto,Offer1,No,Agent,Oregon,806.4,SUV,Medsize,A,January
3186,Basic,OI48534,2617.182661,2011-02-14,High School or Below,2/14/11,Employed,F,98338,Rural,Single,65,13.0,33,0.0,1,Personal L1,Personal Auto,Offer3,No,Web,California,35.597288,Four-Door Car,Medsize,A,February
3189,Basic,OD85990,3964.151263,2011-02-14,Bachelor,2/14/11,Disabled,F,23474,Suburban,Divorced,102,5.0,21,0.0,1,Corporate L3,Corporate Auto,Offer1,No,Branch,Oregon,489.6,SUV,Medsize,A,February
